1,0.91
2,1.09
3,0.86
4,0.59
5,0.53
6,0.48
7,0.46
8,0.44
9,0.39
10,0.55
11,0.7
12,0.79
13,0.83
14,0.86
15,0.88
16,0.9
17,0.92
18,0.96
19,1.11
20,1.17
21,1.14
22,1.07
23,1.03
24,1.01
25,1.01
26,1.07
27,1.11
28,1.14
29,1.09
30,1.0
31,0.94
32,0.91
33,0.95
34,1.15
35,1.29
36,1.26
37,1.16
38,1.04
39,0.99
40,0.95
41,0.92
42,0.92
43,0.95
44,1.04
45,1.06
46,1.07
47,1.1
48,1.1
49,1.08
50,1.05
51,1.02
52,0.98
53,0.96
54,0.98
55,1.04
56,1.13
57,1.21
58,1.18
59,1.09
60,0.99
61,0.95
62,0.93
63,0.93
64,0.96
65,1.02
66,1.06
67,1.04
68,0.99
69,0.95
70,0.93
71,0.95
72,0.96
73,0.97
74,0.98
75,1.0
76,1.04
77,1.07
78,1.1
79,1.12
80,1.13
81,1.14
82,1.1
83,1.02
84,1.01
85,1.06
86,1.1
87,1.1
88,1.1
89,1.09
90,1.1
91,1.12
92,1.19
93,1.28
94,1.31
95,1.25
96,1.08
97,0.97
98,0.94
99,1.01
100,1.16
101,1.27
102,1.26
103,1.14
104,1.03
105,0.97
106,0.96
107,0.96
108,0.97
109,0.98
110,1.05
111,1.16
112,1.31
113,1.34
114,1.27
115,1.15
116,1.04
117,0.97
118,0.96
119,1.0
120,1.1
121,1.16
122,1.2
123,1.2
124,1.18
125,1.15
126,1.13
127,1.08
128,0.99
129,0.96
130,1.02
131,1.21
132,1.26
133,1.23
134,1.18
135,1.12
136,1.06
137,1.03
138,1.15
139,1.34
140,1.55
141,1.69
142,1.71
143,1.48
144,1.24
145,1.18
146,1.18
147,1.13
148,1.07
149,1.05
150,1.04
151,1.04
152,1.02
153,0.99
154,0.96
155,0.93
156,0.91
157,0.9
158,0.9
159,0.9
160,0.9
161,0.89
162,0.86
163,0.85
164,0.85
165,0.86
166,0.85
167,0.88
168,0.92
169,0.95
170,0.95
171,0.94
172,0.93
173,0.93
174,0.93
175,0.94
176,0.95
177,1.07
178,1.34
179,1.39
180,1.27
181,1.25
182,1.36
183,1.47
184,1.54
185,1.75
186,2.54
187,2.77
188,2.71
189,1.86
190,1.72
191,1.5
192,1.41
193,1.4
194,1.53
195,2.3
196,2.47
197,1.39
198,1.16
199,1.0
200,0.96
201,1.02
202,1.2
203,2.25
204,3.16
205,3.1
206,2.01
207,1.65
208,1.39
209,1.2
210,1.19
211,1.37
212,1.62
213,1.92
214,2.12
215,1.88
216,1.6
217,1.34
218,1.2
219,1.19
220,1.4
221,1.37
222,1.31
223,1.25
224,1.24
225,1.2
226,1.04
227,1.02
228,1.07
229,1.22
230,1.32
231,1.4
232,1.54
233,1.47
234,1.26
235,1.13
236,1.09
237,1.09
238,1.08
239,1.05
240,1.01
241,1.0
242,1.05
243,1.13
244,1.03
245,0.98
246,0.97
247,1.04
248,1.31
249,1.64
250,1.92
251,2.02
252,1.79
253,1.47
254,1.24
255,1.12
256,1.13
257,2.03
258,2.2
259,2.28
260,2.18
261,1.95
262,1.67
263,1.42
264,1.22
265,1.18
266,1.17
267,1.29
268,1.51
269,1.69
270,1.53
271,1.26
272,1.03
273,0.91
274,0.84
275,0.84
276,1.02
277,1.24
278,1.46
279,1.58
280,1.41
281,1.2
282,1.12
283,1.27
284,1.51
285,1.77
286,1.82
287,1.62
288,1.5
289,1.32
290,1.13
291,1.04
292,1.04
293,1.08
294,1.14
295,1.22
296,1.24
297,1.17
298,1.1
299,1.05
300,1.01
301,0.97
302,0.94
303,0.94
304,0.98
305,1.03
306,1.09
307,1.14
308,1.17
309,1.19
310,1.18
311,1.13
312,1.07
313,1.01
314,0.99
315,1.01
316,1.11
317,1.12
318,1.05
319,0.99
320,0.98
321,0.99
322,0.98
323,0.95
324,0.9
325,0.89
326,0.91
327,0.92
328,0.89
329,0.86
330,0.81
331,0.82
332,0.87
333,1.06
334,1.22
335,1.29
336,1.1
337,0.98
338,0.88
339,0.83
340,0.83
341,0.86
342,0.9
343,1.03
344,1.27
345,1.31
346,1.1
347,1.0
348,0.98
349,0.98
350,1.06
351,1.26
352,1.4
353,1.35
354,1.3
355,1.2
356,1.11
357,1.07
358,1.1
359,1.29
360,1.4
